Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,BL,25-Feb-19,2029.7,1925.65,1925.65,1925.65,1925.65,1925.65,1925.65,1057509,2036392206,2,0,0
TCS,EQ,25-Feb-19,1925.65,1932.5,1990,1930.5,1987,1985.15,1961.61,2934880,5757094593,140541,1341508,45.71
TCS,EQ,26-Feb-19,1985.15,1984,2045.15,1972.25,2032.5,2038.7,2022.12,6453309,13049353836,177907,3366710,52.17
TCS,EQ,27-Feb-19,2038.7,2040,2074.95,2022,2052.5,2058.1,2050.25,4732082,9701947351,168823,2532055,53.51
TCS,EQ,28-Feb-19,2058.1,2060,2071.35,1977.6,1983.5,1983.45,2009.42,8454295,16988212895,284872,3927877,46.46
TCS,EQ,1-Mar-19,1983.45,1995.05,2005,1980.35,1995,1995.4,1993.73,4148548,8271064290,128204,2071633,49.94
TCS,EQ,5-Mar-19,1995.4,2005,2007,1976.6,1985.05,1988.1,1987.11,2449622,4867670462,151723,1394714,56.94
TCS,EQ,6-Mar-19,1988.1,1989.3,2015,1985.05,2005,1999.6,2001.3,2635047,5273530564,179625,1257394,47.72
TCS,EQ,7-Mar-19,1999.6,2005,2024.05,2000.2,2015,2013.3,2014.4,2539884,5116330320,126121,1392383,54.82
TCS,EQ,8-Mar-19,2013.3,2025,2033,2010.05,2022.75,2022.7,2023.03,2031071,4108921516,116872,971744,47.84
TCS,EQ,11-Mar-19,2022.7,2028.9,2033,2003.65,2016.15,2014.8,2017.1,3111689,6276593842,104833,2195339,70.55
TCS,EQ,12-Mar-19,2014.8,2014.05,2024.8,2003,2009.1,2012.45,2015.6,2658550,5358583633,132223,1716971,64.58
TCS,EQ,13-Mar-19,2012.45,2013,2015.9,1978.6,1995,2000.5,2001.12,1833163,3668374640,112785,821473,44.81
TCS,EQ,14-Mar-19,2000.5,2004.95,2007.8,1981,1990.4,1987.4,1991.28,1905495,3794368664,124863,1000627,52.51
TCS,EQ,15-Mar-19,1987.4,1998.9,2068.95,1991,2036,2039.95,2040.01,5184318,10576085296,164284,2256287,43.52
